id,location,event_type,feature,volume,resource_type,severity_type,fault_severity
14121,location 118,event_type 34,feature 312,19,resource_type 2,severity_type 2,1
9320,location 91,event_type 34,feature 315,200,resource_type 2,severity_type 2,0
14394,location 152,event_type 35,feature 221,1,resource_type 2,severity_type 2,1
8218,location 931,event_type 15,feature 80,9,resource_type 8,severity_type 1,1
14804,location 120,event_type 34,feature 134,1,resource_type 2,severity_type 1,0
1080,location 664,event_type 11,feature 171,8,resource_type 8,severity_type 1,0
9731,location 640,event_type 50,feature 374,3,resource_type 2,severity_type 4,0
15505,location 122,event_type 34,feature 235,1,resource_type 2,severity_type 2,0
3443,location 263,event_type 34,feature 312,1,resource_type 2,severity_type 2,1
13300,location 613,event_type 54,feature 71,1,resource_type 8,severity_type 1,1
8976,location 760,event_type 11,feature 136,1,resource_type 8,severity_type 1,1
7965,location 519,event_type 34,feature 312,1,resource_type 2,severity_type 2,0
10342,location 746,event_type 11,feature 134,3,resource_type 2,severity_type 1,0
6741,location 1066,event_type 11,feature 68,5,resource_type 8,severity_type 1,1
7187,location 812,event_type 11,feature 167,5,resource_type 8,severity_type 1,0
16780,location 343,event_type 34,feature 232,1,resource_type 2,severity_type 2,0
14195,location 133,event_type 35,feature 312,1,resource_type 2,severity_type 2,0
14025,location 976,event_type 54,feature 82,6,resource_type 8,severity_type 1,0
8548,location 948,event_type 11,feature 163,2,resource_type 8,severity_type 1,1
9566,location 808,event_type 11,feature 71,4,resource_type 8,severity_type 1,0
15652,location 894,event_type 44,feature 378,6,resource_type 2,severity_type 1,0
3931,location 875,event_type 11,feature 202,2,resource_type 8,severity_type 1,0
4557,location 1024,event_type 11,feature 73,1,resource_type 8,severity_type 2,0
3610,location 166,event_type 35,feature 312,1,resource_type 2,severity_type 4,0
16574,location 687,event_type 11,feature 54,1,resource_type 8,severity_type 4,0
7504,location 1016,event_type 11,feature 170,1,resource_type 8,severity_type 1,1
9735,location 707,event_type 15,feature 193,4,resource_type 8,severity_type 2,0
14048,location 978,event_type 15,feature 201,2,resource_type 8,severity_type 1,1
6769,location 775,event_type 15,feature 203,3,resource_type 8,severity_type 1,0
2514,location 829,event_type 11,feature 55,5,resource_type 8,severity_type 2,0
896,location 732,event_type 11,feature 55,1,resource_type 8,severity_type 1,0
4757,location 508,event_type 35,feature 312,7,resource_type 2,severity_type 2,0
16358,location 257,event_type 20,feature 134,1,resource_type 2,severity_type 1,1
11810,location 116,event_type 34,feature 232,2,resource_type 2,severity_type 2,0
7274,location 830,event_type 11,feature 68,1,resource_type 8,severity_type 1,1
2972,location 491,event_type 34,feature 235,2,resource_type 2,severity_type 2,0
7392,location 253,event_type 35,feature 232,2,resource_type 2,severity_type 2,0
6824,location 740,event_type 11,feature 195,1,resource_type 8,severity_type 2,0
4311,location 704,event_type 15,feature 74,1,resource_type 8,severity_type 1,2
12261,location 1089,event_type 11,feature 170,11,resource_type 8,severity_type 1,2
14752,location 653,event_type 11,feature 76,1,resource_type 8,severity_type 2,0
14992,location 600,event_type 15,feature 203,1,resource_type 8,severity_type 2,2
967,location 892,event_type 42,feature 291,5,resource_type 2,severity_type 1,2
8059,location 802,event_type 23,feature 306,2,resource_type 7,severity_type 4,0
13406,location 794,event_type 14,feature 163,3,resource_type 4,severity_type 1,0
11424,location 477,event_type 35,feature 235,1,resource_type 2,severity_type 2,0
3945,location 684,event_type 15,feature 71,1,resource_type 8,severity_type 2,2
10351,location 895,event_type 42,feature 375,49,resource_type 2,severity_type 1,2
2272,location 496,event_type 35,feature 307,1,resource_type 2,severity_type 2,0
10752,location 321,event_type 34,feature 312,2,resource_type 2,severity_type 2,1
17096,location 1107,event_type 15,feature 71,144,resource_type 8,severity_type 1,2
17314,location 1086,event_type 15,feature 82,16,resource_type 8,severity_type 2,2
12770,location 895,event_type 42,feature 290,2,resource_type 2,severity_type 1,1
3304,location 1099,event_type 11,feature 81,5,resource_type 8,severity_type 2,1
9012,location 975,event_type 20,feature 134,1,resource_type 2,severity_type 1,0
9928,location 1019,event_type 15,feature 203,22,resource_type 8,severity_type 2,2
297,location 812,event_type 10,feature 55,11,resource_type 8,severity_type 1,2
5751,location 342,event_type 35,feature 232,3,resource_type 2,severity_type 2,0
17692,location 744,event_type 14,feature 54,1,resource_type 8,severity_type 2,1
3688,location 181,event_type 35,feature 313,1,resource_type 2,severity_type 4,0
3425,location 1086,event_type 15,feature 203,3,resource_type 8,severity_type 2,1
